,ci_test_results,z_test_results,z_test_p_values,mean_diff
837,True,False,0.2075,0.9
838,True,False,0.8757,0.1
839,True,False,0.1265,-1.7
840,True,True,0.0372,2.2
841,False,True,0.0,-32.8
842,True,False,0.9454,-0.0
843,True,False,0.0937,-2.3
844,True,False,0.2521,1.6
845,True,False,0.3483,1.6
846,True,False,0.2473,-2.4
847,True,False,0.4323,-0.6
848,True,False,0.8561,-0.1
849,True,False,0.8522,0.2
850,True,False,0.199,1.2
851,True,False,0.7353,0.9
852,True,False,0.3427,-1.5
853,False,True,0.0,-18.6
854,True,False,0.2867,-1.4
855,False,True,0.0,-28.3
856,True,False,0.7935,0.4
857,False,True,0.0,-12.5
858,True,False,0.295,-1.4
859,True,False,0.0903,2.5
860,True,False,0.6581,-0.0
861,True,False,0.9148,0.1
862,True,False,0.6436,-0.8
863,True,True,0.0074,-6.6
864,True,False,0.1248,1.8
865,True,False,0.5753,0.7
866,True,False,0.1962,-6.2
867,True,False,0.1375,1.4
868,True,False,0.2309,0.9
869,False,True,0.0,9.6
870,True,False,0.1122,-4.6
871,True,False,0.2258,1.0
872,True,False,0.3147,3.3
873,False,True,0.0002,11.2
874,True,True,0.0103,5.3
875,False,True,0.0,-11.0
876,True,False,0.696,-0.3
877,True,False,0.07,-2.9
878,True,False,0.1786,1.8
879,True,False,0.9754,0.0
880,True,False,0.4194,-1.4
881,False,True,0.0,8.2
882,True,False,0.3802,-0.7
883,True,False,0.9282,-0.1
884,False,True,0.0043,110.7
885,True,False,0.683,-0.5
886,True,False,0.8377,-0.2
887,False,True,0.0023,-4.3
888,True,False,0.3248,1.3
889,False,True,0.0,-38.4
890,True,False,0.6492,0.8
891,True,False,0.6808,-0.6
892,True,False,0.4109,-2.0
893,True,False,0.1967,-1.8
894,True,False,0.4752,-1.8
895,True,False,0.1108,-4.5
896,True,False,0.8139,1.3
897,False,True,0.0,-14.0
898,True,False,0.1016,1.2
899,True,False,0.3351,-3.8
900,True,False,0.6287,-3.1
